rank,GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9,GEP10,GEP11,GEP12
427,NA,NA,NA,NA,NA,NA,NA,ARID5A,NA,NA,CCDC86,NA
428,NA,NA,NA,NA,NA,NA,NA,GPCPD1,NA,NA,PKP4,NA
429,NA,NA,NA,NA,NA,NA,NA,ZFP36L1,NA,NA,KIF22,NA
430,NA,NA,NA,NA,NA,NA,NA,METTL7A,NA,NA,GLO1,NA
431,NA,NA,NA,NA,NA,NA,NA,AC097534.2,NA,NA,GPSM2,NA
432,NA,NA,NA,NA,NA,NA,NA,PSEN1,NA,NA,MRTO4,NA
433,NA,NA,NA,NA,NA,NA,NA,RFX7,NA,NA,HSPB11,NA
434,NA,NA,NA,NA,NA,NA,NA,FBXO34,NA,NA,RBX1,NA
435,NA,NA,NA,NA,NA,NA,NA,SRGAP2B,NA,NA,SMC3,NA
436,NA,NA,NA,NA,NA,NA,NA,STX11,NA,NA,CCP110,NA
437,NA,NA,NA,NA,NA,NA,NA,SOCS6,NA,NA,CNOT9,NA
438,NA,NA,NA,NA,NA,NA,NA,TCERG1L,NA,NA,BYSL,NA
439,NA,NA,NA,NA,NA,NA,NA,TLK1,NA,NA,EBNA1BP2,NA
440,NA,NA,NA,NA,NA,NA,NA,LINC01678,NA,NA,LDHA,NA
441,NA,NA,NA,NA,NA,NA,NA,CMTM6,NA,NA,PRIM2,NA
442,NA,NA,NA,NA,NA,NA,NA,TRIM56,NA,NA,HIST1H3F,NA
443,NA,NA,NA,NA,NA,NA,NA,DNMT3A,NA,NA,RCCD1,NA
444,NA,NA,NA,NA,NA,NA,NA,MX2,NA,NA,AMOTL1,NA
445,NA,NA,NA,NA,NA,NA,NA,LINC00847,NA,NA,ARHGEF39,NA
446,NA,NA,NA,NA,NA,NA,NA,XXYLT1,NA,NA,PM20D2,NA
447,NA,NA,NA,NA,NA,NA,NA,RAB8B,NA,NA,POLD1,NA
448,NA,NA,NA,NA,NA,NA,NA,STK4,NA,NA,CENPI,NA
449,NA,NA,NA,NA,NA,NA,NA,SAYSD1,NA,NA,GOT2,NA
450,NA,NA,NA,NA,NA,NA,NA,IL2RB,NA,NA,SMCO4,NA
451,NA,NA,NA,NA,NA,NA,NA,RNF217,NA,NA,CDCA7,NA
452,NA,NA,NA,NA,NA,NA,NA,TNFSF11,NA,NA,IMMP1L,NA
453,NA,NA,NA,NA,NA,NA,NA,ATP11C,NA,NA,PFAS,NA
454,NA,NA,NA,NA,NA,NA,NA,TRANK1,NA,NA,PRELID3A,NA
455,NA,NA,NA,NA,NA,NA,NA,RANBP1,NA,NA,SMC1A,NA
456,NA,NA,NA,NA,NA,NA,NA,TAB3,NA,NA,ELOC,NA
457,NA,NA,NA,NA,NA,NA,NA,EMC9,NA,NA,FH,NA
458,NA,NA,NA,NA,NA,NA,NA,TMEM121B,NA,NA,CENPK,NA
459,NA,NA,NA,NA,NA,NA,NA,MAPK11,NA,NA,HDGF,NA
460,NA,NA,NA,NA,NA,NA,NA,LFNG,NA,NA,SNRPD3,NA
461,NA,NA,NA,NA,NA,NA,NA,MAP7,NA,NA,FANCB,NA
462,NA,NA,NA,NA,NA,NA,NA,COL27A1,NA,NA,COX17,NA
463,NA,NA,NA,NA,NA,NA,NA,RPS6KA2,NA,NA,NKD2,NA
464,NA,NA,NA,NA,NA,NA,NA,LRRC2,NA,NA,PSMC3IP,NA
465,NA,NA,NA,NA,NA,NA,NA,ZNFX1,NA,NA,NAT14,NA
466,NA,NA,NA,NA,NA,NA,NA,TOR3A,NA,NA,MZT1,NA
467,NA,NA,NA,NA,NA,NA,NA,MPPED2,NA,NA,UTP11,NA
468,NA,NA,NA,NA,NA,NA,NA,SLC41A2,NA,NA,DKC1,NA
469,NA,NA,NA,NA,NA,NA,NA,NR4A1,NA,NA,YWHAG,NA
470,NA,NA,NA,NA,NA,NA,NA,CHMP5,NA,NA,TP53,NA
471,NA,NA,NA,NA,NA,NA,NA,PKM,NA,NA,SNRPA,NA
472,NA,NA,NA,NA,NA,NA,NA,TM2D3,NA,NA,NDUFS6,NA
473,NA,NA,NA,NA,NA,NA,NA,ARHGAP17,NA,NA,MAGOHB,NA
474,NA,NA,NA,NA,NA,NA,NA,LAIR2,NA,NA,SHMT2,NA
475,NA,NA,NA,NA,NA,NA,NA,HSH2D,NA,NA,WDR5,NA
476,NA,NA,NA,NA,NA,NA,NA,STX17,NA,NA,PSAT1,NA
477,NA,NA,NA,NA,NA,NA,NA,GPA33,NA,NA,SAAL1,NA
478,NA,NA,NA,NA,NA,NA,NA,RAMP1,NA,NA,SNRNP25,NA
479,NA,NA,NA,NA,NA,NA,NA,HERC6,NA,NA,HSPA14,NA
480,NA,NA,NA,NA,NA,NA,NA,CEP44,NA,NA,PSMC3,NA
481,NA,NA,NA,NA,NA,NA,NA,C19orf66,NA,NA,NDUFB6,NA
482,NA,NA,NA,NA,NA,NA,NA,HERC5,NA,NA,AP001347.1,NA
483,NA,NA,NA,NA,NA,NA,NA,CTSB,NA,NA,TRAIP,NA
484,NA,NA,NA,NA,NA,NA,NA,HYKK,NA,NA,ANAPC15,NA
485,NA,NA,NA,NA,NA,NA,NA,FURIN,NA,NA,CHRAC1,NA
486,NA,NA,NA,NA,NA,NA,NA,RAB5B,NA,NA,CPSF3,NA
487,NA,NA,NA,NA,NA,NA,NA,NKILA,NA,NA,PXMP2,NA
488,NA,NA,NA,NA,NA,NA,NA,NOTUM,NA,NA,EFNB2,NA
489,NA,NA,NA,NA,NA,NA,NA,SIRPG,NA,NA,ACAT2,NA
490,NA,NA,NA,NA,NA,NA,NA,VSTM4,NA,NA,IDH3A,NA
491,NA,NA,NA,NA,NA,NA,NA,USP35,NA,NA,POLR2D,NA
492,NA,NA,NA,NA,NA,NA,NA,USP47,NA,NA,SEH1L,NA
493,NA,NA,NA,NA,NA,NA,NA,HECTD2,NA,NA,FKBP4,NA
494,NA,NA,NA,NA,NA,NA,NA,OR3A1,NA,NA,TTLL12,NA
495,NA,NA,NA,NA,NA,NA,NA,TRAF1,NA,NA,PA2G4,NA
496,NA,NA,NA,NA,NA,NA,NA,ICOS,NA,NA,DDX11.AS1,NA
497,NA,NA,NA,NA,NA,NA,NA,PNPT1,NA,NA,CCT5,NA
498,NA,NA,NA,NA,NA,NA,NA,AC017002.3,NA,NA,NDUFB3,NA
499,NA,NA,NA,NA,NA,NA,NA,SETMAR,NA,NA,NABP2,NA
500,NA,NA,NA,NA,NA,NA,NA,TRMT1L,NA,NA,SRRT,NA
501,NA,NA,NA,NA,NA,NA,NA,VMP1,NA,NA,WDR90,NA
502,NA,NA,NA,NA,NA,NA,NA,ZNF37A,NA,NA,PPIH,NA
503,NA,NA,NA,NA,NA,NA,NA,SARDH,NA,NA,NME4,NA
504,NA,NA,NA,NA,NA,NA,NA,XCL1,NA,NA,TPGS2,NA
505,NA,NA,NA,NA,NA,NA,NA,MCL1,NA,NA,USP14,NA
506,NA,NA,NA,NA,NA,NA,NA,LGALS3BP,NA,NA,ANAPC11,NA
507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PGD,NA
508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPS3,NA
509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GSTP1,NA
510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SF3B6,NA
511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSMD14,NA
512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NDUFAB1,NA
513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COMMD4,NA
514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSMD1,NA
515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ATP2A1,NA
516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SPINDOC,NA
517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LRRC34,NA
518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPO5,NA
519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BARD1,NA
520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIMM23,NA
521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PLAUR,NA
522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IDH2,NA
523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SREBF2,NA
524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ZSCAN16.AS1,NA
525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KDELC2,NA
526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COX7B,NA
527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DBF4,NA
528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAM98B,NA
529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MAGOH,NA
530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CBX5,NA
531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TUBB4B,NA
532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RPP25,NA
533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HSPD1,NA
534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIST1H1D,NA
535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIMM13,NA
536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EIF2S2,NA
537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FDPS,NA
538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHX15,NA
539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TMA16,NA
540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AHCY,NA
541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUV39H2,NA
542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AK2,NA
543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RUVBL1,NA
544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IPO7,NA
545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ILF2,NA
546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COX5A,NA
547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNN3,NA
548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACYP1,NA
549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TPRKB,NA
550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTXN1,NA
551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARL6IP6,NA
552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YWHAE,NA
553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NEURL1B,NA
554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GLRX5,NA
555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INCENP,NA
556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIST1H1A,NA
557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAA38,NA
558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOLC1,NA
559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEM1,NA
560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RB1,NA
561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VBP1,NA
562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CACYBP,NA
563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HPF1,NA
564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEPHS1,NA
565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SLC29A1,NA
566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCUR1,NA
567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HMGXB4,NA
