,gapin_data|c0,gapin_data|c1,gapin_data|c10,gapin_data|c11,gapin_data|c12,gapin_data|c13,gapin_data|c14,gapin_data|c15,gapin_data|c16,gapin_data|c17,gapin_data|c2,gapin_data|c3,gapin_data|c4,gapin_data|c5,gapin_data|c6,gapin_data|c7,gapin_data|c8,gapin_data|c9,park_data|CD4+T,park_data|CD8+T,park_data|CD8αα(I),park_data|CD8αα(II),park_data|DN(P),park_data|DN(Q),park_data|DN(early),park_data|DP(P),park_data|DP(Q),park_data|NKT,park_data|T(agonist),park_data|Th17,park_data|Treg,park_data|Treg(diff),park_data|αβT(entry),park_data|γδT
gapin_data|c3,0.30045725210077207,0.27136721559163135,0.4589649695583472,0.6125748264573769,0.40101448141121154,0.3699458817288903,0.3039050866215026,0.3072413482647117,0.37139079574178624,0.26874333997321564,0.6812558122248451,0.7783828043972171,0.6593586110019889,0.4530960640314382,0.3606321016925189,0.49424705510434475,0.5295560256385952,0.688384217950603,0.6472704679832517,0.578886883626476,0.5586851734776206,0.4546671484435336,0.2881546212134518,0.37814050216394235,0.3007098202345451,0.33266040121496815,0.5443409722761783,0.2963857226229718,0.6177714331176949,0.43431622021538907,0.349572226545781,0.5085074154671873,0.8142061203758986,0.4375011660129625
gapin_data|c4,0.17598755000944027,0.2182621796964324,0.48727022023322164,0.5817482523944155,0.4350249481404025,0.4623346134440097,0.4101191434790795,0.4301274022005106,0.4445398134203572,0.39753944655204554,0.5374176636749537,0.6593586110019889,0.7371544189802091,0.4949654100453276,0.32731312563148063,0.5224145237740649,0.5109711505726859,0.6452985959164788,0.7050993016398736,0.6917947664262302,0.6708439004864595,0.6046966631775622,0.29840054479088995,0.34447437158323396,0.33029152613130836,0.31760742595506014,0.4673326744611388,0.5150701670741744,0.7727570779995392,0.5872681913223656,0.5204751422130707,0.6201811456005101,0.7579246881242792,0.45192649615059444
gapin_data|c5,0.41006185702525816,0.4442806676990548,0.28772720498709975,0.24119762980193363,0.17069416133509185,0.2398547023671179,0.24774466880420218,0.3359468762489665,0.2844027577996153,0.4052472187133037,0.7175439202071585,0.4530960640314382,0.4949654100453276,0.9221337773694667,0.5912643563866153,0.3668769818872447,0.23592447944644596,0.4714517480889604,0.27254576593502067,0.35890939767265373,0.9687075225232793,0.7249533727672577,0.49191338336381085,0.5438426676170318,0.47649885415436677,0.6069462343093528,0.7137523189247574,0.30169790600604685,0.6464517514229376,0.3031253709040257,0.34171284568724397,0.3535715435095231,0.6353905193459037,0.6904358604546286
gapin_data|c6,0.4091903130956717,0.37107432490606185,0.42749058661649897,0.4499912588265494,0.6020345178774241,0.6830026516558222,0.7249714787909345,0.783142520636653,0.6828743896597871,0.8433949050499047,0.43285090663216197,0.3606321016925189,0.32731312563148063,0.5912643563866153,0.8966527113543186,0.46089554816026823,0.46679802467432296,0.3929607329780388,0.5103826207480827,0.5072469987837327,0.7074694167280241,0.88920675670639,0.49925793454454553,0.5808635343301984,0.5883179321528578,0.4198875644529133,0.46337651371448724,0.6269612679401254,0.4274083035615097,0.6989571824923639,0.5513407522386355,0.5818252457456425,0.4313161051075297,0.7915278146720568
gapin_data|c7,0.18834741905898222,0.19447582850598658,0.5520336618372392,0.6442606032451923,0.6250848708440566,0.650723429732744,0.6395804471870343,0.67900986859792,0.7249161970328912,0.6757595651365935,0.34289218413159384,0.49424705510434475,0.5224145237740649,0.3668769818872447,0.46089554816026823,0.7965624603180201,0.6590476976850463,0.5634258974380248,0.7448198231766554,0.7003511268608975,0.5698398409698789,0.704440006296406,0.2776988681985083,0.33621483699880006,0.3350151452906797,0.263094075681347,0.3742195698150836,0.6205791874348074,0.8063886211607378,0.6917968274566706,0.8251614474859448,0.8789361975336198,0.4906725651678854,0.44369527470944625
gapin_data|c8,0.18283521983837844,0.15373418805544795,0.6307467516052766,0.7098561448244376,0.749473496558292,0.7865316902259654,0.7627900017098507,0.7448886627031613,0.7648077073616293,0.7120927837063455,0.33390515424158973,0.5295560256385952,0.5109711505726859,0.23592447944644596,0.46679802467432296,0.6590476976850463,0.8370749431832518,0.5792911268457643,0.8474993174390009,0.8092924927082139,0.4111283005600413,0.695535291993211,0.25623996855399633,0.34230814312291014,0.32926687670831145,0.20624996628343212,0.3497237145896959,0.6814588781948308,0.632744082645391,0.7605058212213722,0.7587143970406187,0.8258026625567191,0.520537370682377,0.40314519095653917
gapin_data|c9,0.2643964294993824,0.20440785663101646,0.6362586156741188,0.651941403602495,0.4207128256201791,0.48819091525334907,0.3819574890930447,0.4363996224937832,0.38444142430855077,0.3767013741398205,0.6991764073327986,0.688384217950603,0.6452985959164788,0.4714517480889604,0.3929607329780388,0.5634258974380248,0.5792911268457643,0.8082619723898246,0.598056349196949,0.7102635233823448,0.5315523395656017,0.5363804417919669,0.20718857441668467,0.32324142476858425,0.21838878614696972,0.27717960315138923,0.5424207095833804,0.3614108581407374,0.5442586464347114,0.38932406826897514,0.3523029227428931,0.5523456813295586,0.7045641938274921,0.32994278517269415
park_data|CD4+T,0.09854299853393701,0.21674468743894323,0.7927162487808107,0.8531464708742182,0.906550899985048,0.8581630218613858,0.8894494576936163,0.8064936416399696,0.8583666476121866,0.777843439679478,0.25682113821354835,0.6472704679832517,0.7050993016398736,0.27254576593502067,0.5103826207480827,0.7448198231766554,0.8474993174390009,0.598056349196949,0.8889866744179951,0.8479597441474717,0.36115614315383693,0.7538904198091705,0.30760310662688733,0.20329144957441092,0.417144516339521,0.1968523611806988,0.17263283804978238,0.8558949455970031,0.7982690428695226,0.8665124968847646,0.8738124852731886,0.873216326380917,0.6096328844668519,0.36069676173365295
park_data|CD8+T,0.11636003988764257,0.18655409091577227,0.8697788198512038,0.7956385101356884,0.841568019792086,0.8590713722467607,0.871596959663498,0.8118352806848215,0.7810378559199844,0.7930022074236789,0.32816183417445377,0.578886883626476,0.6917947664262302,0.35890939767265373,0.5072469987837327,0.7003511268608975,0.8092924927082139,0.7102635233823448,0.8479597441474717,0.8636456630998172,0.4120986059897521,0.7643785964979521,0.2354340344881845,0.22081678303217755,0.33814172942332954,0.16673572034292825,0.28364172273597454,0.8430499582554447,0.7585308245393538,0.8093347244463627,0.8217369002029047,0.8453662120077571,0.6517873286118959,0.29939770149673844
park_data|CD8αα(I),0.42460799442128994,0.6330660168726541,0.5067821713761604,0.3983046481574592,0.4267721605344628,0.4257173213725823,0.4839677305113653,0.5169099715670136,0.5377203072741141,0.5867572031639006,0.641990073435644,0.5586851734776206,0.6708439004864595,0.9687075225232793,0.7074694167280241,0.5698398409698789,0.4111283005600413,0.5315523395656017,0.36115614315383693,0.4120986059897521,0.9066450528239386,0.7192111588282388,0.5172791057854689,0.3297586285756049,0.5436520118518369,0.5480195002747981,0.41637448766373203,0.6013692677662644,0.6894640473110814,0.45030894912683606,0.6748977626497201,0.5159358033073929,0.5245256796055807,0.5000173475852892
park_data|CD8αα(II),0.18633505022485977,0.251346910127916,0.6803870884805128,0.5977267733049625,0.8416573309190947,0.8654651466521712,0.8887214710473404,0.9009843129300763,0.8485632114099619,0.9345580318916774,0.40127069328941245,0.4546671484435336,0.6046966631775622,0.7249533727672577,0.88920675670639,0.704440006296406,0.695535291993211,0.5363804417919669,0.7538904198091705,0.7643785964979521,0.7192111588282388,0.9014378062968943,0.29854274010944465,0.2659540923445878,0.448163859913085,0.20928143084055884,0.2872776113333191,0.8643690468529864,0.7153203118717492,0.8265116851797367,0.8648486792985368,0.8341596680473536,0.5278305108278578,0.4578317838526562
park_data|DN(P),0.8782460422447603,0.9270931848567798,0.3258169173498805,0.2359955189521641,0.27266132053008024,0.2017705721733638,0.26163976242944165,0.2566456367705438,0.2395281898262518,0.31115583050940787,0.23631488974677595,0.2881546212134518,0.29840054479088995,0.49191338336381085,0.49925793454454553,0.2776988681985083,0.25623996855399633,0.20718857441668467,0.30760310662688733,0.2354340344881845,0.5172791057854689,0.29854274010944465,0.890799218071788,0.7906047010600388,0.90046514675069,0.86273184165585,0.37621931265924774,0.3765820554385859,0.3881673644950273,0.38245405162608004,0.3077400117550708,0.21321998444363022,0.17480341066943034,0.7701702712311475
park_data|DN(Q),0.9815356351054956,0.7425655509189161,0.40785889393531116,0.3265563164596002,0.3327058498813508,0.2686263556786528,0.2941231002923941,0.29810222631491,0.26909650539611885,0.32606371198447603,0.4940511864445859,0.37814050216394235,0.34447437158323396,0.5438426676170318,0.5808635343301984,0.33621483699880006,0.34230814312291014,0.32324142476858425,0.20329144957441092,0.22081678303217755,0.3297586285756049,0.2659540923445878,0.7906047010600388,0.9114556335529196,0.748663082548858,0.6284474462544198,0.6549306984589709,0.28500175227209046,0.217918441761269,0.25910911256058056,0.22119498347320354,0.20019409769062008,0.33021612172429676,0.5934545102520732
park_data|DN(early),0.8035089158529358,0.8778570430042847,0.36834527738727024,0.2861421904895134,0.39684639400833177,0.32202649729046695,0.4126195515975853,0.380449722931577,0.3413159929036049,0.4948307416999491,0.1902920294631293,0.3007098202345451,0.33029152613130836,0.47649885415436677,0.5883179321528578,0.3350151452906797,0.32926687670831145,0.21838878614696972,0.417144516339521,0.33814172942332954,0.5436520118518369,0.448163859913085,0.90046514675069,0.748663082548858,0.9398470880328434,0.793215062032702,0.2269376056678547,0.526714682687481,0.48936301474360966,0.5233827955992917,0.44227049852305056,0.3154134055621326,0.1593128212630856,0.7903985506470071
park_data|DP(P),0.7644825126503128,0.9496816638719054,0.3056957414331323,0.20894226702804738,0.18581799314519137,0.1375200447544332,0.1768497209798991,0.1850794272389428,0.19178788166657434,0.20408982820279742,0.49438387192251637,0.33266040121496815,0.31760742595506014,0.6069462343093528,0.4198875644529133,0.263094075681347,0.20624996628343212,0.27717960315138923,0.1968523611806988,0.16673572034292825,0.5480195002747981,0.20928143084055884,0.86273184165585,0.6284474462544198,0.793215062032702,0.9065595491600872,0.5974936081332338,0.25586634145468806,0.304675158302684,0.24501053983755483,0.23274761726614668,0.16348599696064062,0.28042980266678585,0.7211929302734903
park_data|DP(Q),0.8108153877645533,0.6182658848481242,0.41482866327813134,0.3766321251416914,0.35183294154357814,0.3218098660237651,0.30581085578746203,0.3128118781286815,0.3310344160127704,0.2841162384337875,0.9086018608281317,0.5443409722761783,0.4673326744611388,0.7137523189247574,0.46337651371448724,0.3742195698150836,0.3497237145896959,0.5424207095833804,0.17263283804978238,0.28364172273597454,0.41637448766373203,0.2872776113333191,0.37621931265924774,0.6549306984589709,0.2269376056678547,0.5974936081332338,0.9359092751006879,0.25246702632769824,0.17857368080149305,0.2085014638900594,0.26060420560643155,0.2936828075615153,0.6877939795909165,0.32041775429344366
